time;position;velocity
0;1;0
0.005;0.9975375801740655;-0.9849679303738146
0.01;0.9901702021241594;-1.9619832895886091
0.015;0.977957335842727;-2.9231632229843374
0.02;0.960997518555863;-3.860763691761271
0.025;0.9394274909676248;-4.76724734353402
0.030000000000000002;0.913420998725544;-5.6353495532982745
0.035;0.8831872697166877;-6.458142050244264
0.04;0.8489691806729655;-7.229093567244638
0.045;0.8110411293142866;-7.942126976226893
0.049999999999999996;0.7697066308642613;-8.591672403783246
0.05499999999999999;0.7252956602123214;-9.172715856992708
0.05999999999999999;0.6781617632468004;-9.680842929215672
0.06499999999999999;0.6286789629257068;-10.112277199221786
0.06999999999999999;0.5772384874675592;-10.463912984037238
0.075;0.5242453496176368;-10.733342155931735
0.08;0.4701148072613911;-10.918874786566546
0.085;0.41526873670491105;-11.019553436025475
0.09000000000000001;0.3601319507129368;-11.035160960764223
0.09500000000000001;0.305128493881161;-10.966221771946106
0.10000000000000002;0.25067794811712324;-10.813996533668988
0.10500000000000002;0.1971917809111569;-10.580470348717544
0.11000000000000003;0.1450697686964056;-10.268334537182985
0.11500000000000003;0.09469652692828627;-9.880962170064741
0.12000000000000004;0.046438177564864395;-9.422377575304008
0.12500000000000003;0.0006391834088378236;-8.89722008710662
0.13000000000000003;-0.04238062270997665;-8.310702360419171
0.13500000000000004;-0.08232878766246292;-7.668563620575338
0.14000000000000004;-0.11894274237140745;-6.977018263002476
0.14500000000000005;-0.1519920386765987;-6.24270025907402
0.15000000000000005;-0.18128029897764855;-5.472603861345925
0.15500000000000005;-0.20664686146650277;-4.674021134195762
0.16000000000000006;-0.22796810646199578;-3.8544768640014424
0.16500000000000006;-0.2451584521875057;-3.021661426202528
0.17000000000000007;-0.2581710112647018;-2.183362204675919
0.17500000000000007;-0.2669979022055646;-1.347394171669182
0.18000000000000008;-0.27167021324462276;-0.5215302439540921
0.18500000000000008;-0.2722576189365741;0.28656796717356614
0.19000000000000009;-0.2688676530238059;1.0694183979337095
0.1950000000000001;-0.26164464412651744;1.8197851609816669
0.2000000000000001;-0.2507683237981465;2.5307429703667075
0.2050000000000001;-0.23645211939412017;3.195738791243828
0.2100000000000001;-0.2189411469968307;3.8086501676719577
0.2150000000000001;-0.19850992229940947;4.363839711296534
0.2200000000000001;-0.17545980985176143;4.856205267762682
0.22500000000000012;-0.15011623339226446;5.281225316036108
0.23000000000000012;-0.12282567210696778;5.634999198082564
0.23500000000000013;-0.09395246955626589;5.91428182219819
0.24000000000000013;-0.06387548367005491;6.116512532286201
0.24500000000000013;-0.03298460762157446;6.23983788710598
0.2500000000000001;-0.0016771925350101097;6.28312814751976
0.2550000000000001;0.02964559614766812;6.245987325551534
0.2600000000000001;0.06058245622694227;6.128756706158126
0.2650000000000001;0.09073562751855521;5.93251181048705
0.27000000000000013;0.11971453911364154;5.659052827547479
0.27500000000000013;0.14713939268034432;5.310888599133633
0.28000000000000014;0.1726446499281805;4.891214300000836
0.28500000000000014;0.19588239320617515;4.403883011197027
0.29000000000000015;0.2165255293306693;3.8533714386006306
0.29500000000000015;0.23427080812874615;3.2447400806301125
0.30000000000000016;0.24884162882609842;2.583588198310796
0.30500000000000016;0.2599906092893103;1.8760039869739478
0.31000000000000016;0.26750189523528006;1.1285103914139647
0.31500000000000017;0.2711931888262264;0.348007044964568
0.3200000000000002;0.27091747855696435;-0.4582911526693847
0.3250000000000002;0.26656445498985415;-1.2829182741746967
0.3300000000000002;0.25806159967853726;-2.1182238503520603
0.3350000000000002;0.2453749375195924;-2.9564410132258776
0.3400000000000002;0.22850944575588;-3.789755692259086
0.3450000000000002;0.20750911590014304;-4.610376250035699
0.3500000000000002;0.18245666792541002;-5.41060293985751
0.3550000000000002;0.15347291915261665;-6.182896569259833
0.3600000000000002;0.12071581332829517;-6.919945760468759
0.3650000000000002;0.08437911839902862;-7.614732211237862
0.3700000000000002;0.044690804427919166;-8.260593377205918
0.3750000000000002;0.0019111159355264067;-8.851282019751185
0.3800000000000002;-0.04366964434155256;-9.3810220910804
0.38500000000000023;-0.09173360072109346;-9.844560460735961
0.39000000000000024;-0.141938036934295;-10.23721402454465
0.39500000000000024;-0.19391835144050595;-10.554911777939733
0.40000000000000024;-0.24729120958586162;-10.794231480202532
0.40500000000000025;-0.30165786474660394;-10.952430584094397
0.41000000000000025;-0.35660761909724065;-11.027471156160285
0.41500000000000026;-0.41172139340321984;-11.018038566231393
0.42000000000000026;-0.46657537426845647;-10.923553779863258
0.42500000000000027;-0.5207447065784384;-10.74417914412952
0.43000000000000027;-0.5738071984758797;-10.48081761484699
0.4350000000000003;-0.6253470060915569;-10.1351054314239
0.4400000000000003;-0.6749582654290794;-9.709398303585111
0.4450000000000003;-0.7222486392673447;-9.206751231721004
0.4500000000000003;-0.7668427476942035;-8.63089213902249
0.4550000000000003;-0.80838545191276;-7.986189548400128
0.4600000000000003;-0.8465449622586547;-7.277614589957755
0.4650000000000003;-0.8810157429211272;-6.510697675031222
0.4700000000000003;-0.9115211876588672;-5.691480220064811
0.4750000000000003;-0.9378160428276937;-4.826461847465772
0.4800000000000003;-0.9596885562730025;-3.9225435306577583
0.4850000000000003;-0.9769623330658838;-2.9869671864947307
0.4900000000000003;-0.9894978816563228;-2.0272522496808842
0.49500000000000033;-0.9971938367569892;-1.0511297905856964
0.5000000000000003;-0.9999878481324866;-0.06647475961326188
0.5050000000000003;-0.9978571274262369;0.9187630421131643
0.5100000000000003;-0.9908186481841971;1.896628654702763
0.5150000000000003;-0.9789289973045292;2.8592316971643843
